CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,LineCode,Description,2023
01001,"Autauga, AL",1,Real GDP (thousands of chained 2017 dollars),1945909
01001,"Autauga, AL",2,Chain-type quantity indexes for real GDP,110.403
01001,"Autauga, AL",3,Current-dollar GDP (thousands of current dollars),2452642
01003,"Baldwin, AL",1,Real GDP (thousands of chained 2017 dollars),9435720
01003,"Baldwin, AL",2,Chain-type quantity indexes for real GDP,127.811
01003,"Baldwin, AL",3,Current-dollar GDP (thousands of current dollars),12071468
01005,"Barbour, AL",1,Real GDP (thousands of chained 2017 dollars),715994
01005,"Barbour, AL",2,Chain-type quantity indexes for real GDP,93.992
01005,"Barbour, AL",3,Current-dollar GDP (thousands of current dollars),926685
01007,"Bibb, AL",1,Real GDP (thousands of chained 2017 dollars),466543
01007,"Bibb, AL",2,Chain-type quantity indexes for real GDP,114.703
01007,"Bibb, AL",3,Current-dollar GDP (thousands of current dollars),610429
01009,"Blount, AL",1,Real GDP (thousands of chained 2017 dollars),987208
01009,"Blount, AL",2,Chain-type quantity indexes for real GDP,99.923
01009,"Blount, AL",3,Current-dollar GDP (thousands of current dollars),1261107
01011,"Bullock, AL",1,Real GDP (thousands of chained 2017 dollars),267926
01011,"Bullock, AL",2,Chain-type quantity indexes for real GDP,109.376
01011,"Bullock, AL",3,Current-dollar GDP (thousands of current dollars),336598
01013,"Butler, AL",1,Real GDP (thousands of chained 2017 dollars),660757
01013,"Butler, AL",2,Chain-type quantity indexes for real GDP,104.845
01013,"Butler, AL",3,Current-dollar GDP (thousands of current dollars),844597
01015,"Calhoun, AL",1,Real GDP (thousands of chained 2017 dollars),4764871
01015,"Calhoun, AL",2,Chain-type quantity indexes for real GDP,112.263
01015,"Calhoun, AL",3,Current-dollar GDP (thousands of current dollars),5891059
01017,"Chambers, AL",1,Real GDP (thousands of chained 2017 dollars),903782
01017,"Chambers, AL",2,Chain-type quantity indexes for real GDP,103.558
01017,"Chambers, AL",3,Current-dollar GDP (thousands of current dollars),1108813
01019,"Cherokee, AL",1,Real GDP (thousands of chained 2017 dollars),599214
01019,"Cherokee, AL",2,Chain-type quantity indexes for real GDP,107.231
01019,"Cherokee, AL",3,Current-dollar GDP (thousands of current dollars),745483
01021,"Chilton, AL",1,Real GDP (thousands of chained 2017 dollars),1215493
01021,"Chilton, AL",2,Chain-type quantity indexes for real GDP,123.577
01021,"Chilton, AL",3,Current-dollar GDP (thousands of current dollars),1554562
01023,"Choctaw, AL",1,Real GDP (thousands of chained 2017 dollars),618810
01023,"Choctaw, AL",2,Chain-type quantity indexes for real GDP,111.260
01023,"Choctaw, AL",3,Current-dollar GDP (thousands of current dollars),818813
01025,"Clarke, AL",1,Real GDP (thousands of chained 2017 dollars),850844
01025,"Clarke, AL",2,Chain-type quantity indexes for real GDP,104.512
01025,"Clarke, AL",3,Current-dollar GDP (thousands of current dollars),1134678
01027,"Clay, AL",1,Real GDP (thousands of chained 2017 dollars),386382
01027,"Clay, AL",2,Chain-type quantity indexes for real GDP,98.172
01027,"Clay, AL",3,Current-dollar GDP (thousands of current dollars),507971
01029,"Cleburne, AL",1,Real GDP (thousands of chained 2017 dollars),327927
