SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,LineCode,Description,2024:Q1,2024:Q2,2024:Q3,2024:Q4
01000,Alabama,1,Real GDP (millions of chained 2017 dollars) 1,248659.8,250739.6,254444.5,256814.3
01000,Alabama,2,Chain-type quantity indexes for real GDP,114.793,115.753,117.464,118.558
01000,Alabama,3,Current-dollar GDP (millions of current dollars),313790.1,318080.0,324077.8,329002.4
02000,Alaska,1,Real GDP (millions of chained 2017 dollars) 1,54710.6,54561.4,54857.0,55395.0
02000,Alaska,2,Chain-type quantity indexes for real GDP,102.166,101.887,102.439,103.444
02000,Alaska,3,Current-dollar GDP (millions of current dollars),69272.8,69794.2,70140.8,70668.1
04000,Arizona,1,Real GDP (millions of chained 2017 dollars) 1,428803.1,432050.1,435344.6,438854.8
04000,Arizona,2,Chain-type quantity indexes for real GDP,128.731,129.706,130.695,131.749
04000,Arizona,3,Current-dollar GDP (millions of current dollars),541058.4,548806.1,555613.6,563190.1
05000,Arkansas,1,Real GDP (millions of chained 2017 dollars) 1,146111.8,146642.3,149105.5,150974.3
05000,Arkansas,2,Chain-type quantity indexes for real GDP,117.944,118.372,120.360,121.869
05000,Arkansas,3,Current-dollar GDP (millions of current dollars),184600.9,186196.7,190229.5,193865.1
06000,California,1,Real GDP (millions of chained 2017 dollars) 1,3331857.2,3354963.1,3380751.2,3392761.6
06000,California,2,Chain-type quantity indexes for real GDP,121.576,122.419,123.360,123.799
06000,California,3,Current-dollar GDP (millions of current dollars),4027204.4,4080178.3,4132221.0,4172890.6
08000,Colorado,1,Real GDP (millions of chained 2017 dollars) 1,440600.9,443495.5,447218.4,449894.6
08000,Colorado,2,Chain-type quantity indexes for real GDP,125.811,126.637,127.700,128.465
08000,Colorado,3,Current-dollar GDP (millions of current dollars),542411.2,550173.1,557307.8,563398.0
09000,Connecticut,1,Real GDP (millions of chained 2017 dollars) 1,291102.5,293086.6,295295.3,296625.8
09000,Connecticut,2,Chain-type quantity indexes for real GDP,106.290,107.015,107.821,108.307
09000,Connecticut,3,Current-dollar GDP (millions of current dollars),358593.5,363416.8,368321.1,372560.8
10000,Delaware,1,Real GDP (millions of chained 2017 dollars) 1,78722.1,79347.5,79950.0,80591.3
10000,Delaware,2,Chain-type quantity indexes for real GDP,113.179,114.078,114.944,115.866
10000,Delaware,3,Current-dollar GDP (millions of current dollars),100917.7,102400.8,103996.2,105698.4
11000,District of Columbia,1,Real GDP (millions of chained 2017 dollars) 1,146805.8,147570.3,148316.9,149387.3
11000,District of Columbia,2,Chain-type quantity indexes for real GDP,109.313,109.882,110.438,111.235
11000,District of Columbia,3,Current-dollar GDP (millions of current dollars),182189.9,184915.6,187350.6,190204.0
12000,Florida,1,Real GDP (millions of chained 2017 dollars) 1,1324280.3,1334883.3,1345731.9,1353579.1
12000,Florida,2,Chain-type quantity indexes for real GDP,130.488,131.533,132.602,133.375
12000,Florida,3,Current-dollar GDP (millions of current dollars),1670439.3,1695272.6,1717871.5,1738676.3
13000,Georgia,1,Real GDP (millions of chained 2017 dollars) 1,693161.2,699113.5,703632.7,708383.7
13000,Georgia,2,Chain-type quantity indexes for real GDP,118.785,119.805,120.579,121.394
13000,Georgia,3,Current-dollar GDP (millions of current dollars),865084.2,877746.3,887924.2,899383.4
15000,Hawaii,1,Real GDP (millions of chained 2017 dollars) 1,89641.2,89946.0,90521.2,91012.4
15000,Hawaii,2,Chain-type quantity indexes for real GDP,102.522,102.870,103.528,104.090
15000,Hawaii,3,Current-dollar GDP (millions of current dollars),113623.8,114936.3,116291.7,117656.9
16000,Idaho,1,Real GDP (millions of chained 2017 dollars) 1,97950.6,99368.8,100547.5,100544.9
16000,Idaho,2,Chain-type quantity indexes for real GDP,134.298,136.243,137.859,137.855
16000,Idaho,3,Current-dollar GDP (millions of current dollars),124946.1,127373.4,129643.7,130565.0
17000,Illinois,1,Real GDP (millions of chained 2017 dollars) 1,887516.3,893704.2,898035.4,902114.1
17000,Illinois,2,Chain-type quantity indexes for real GDP,106.567,107.310,107.830,108.320
17000,Illinois,3,Current-dollar GDP (millions of current dollars),1118330.9,1132143.3,1143080.7,1155419.6
18000,Indiana,1,Real GDP (millions of chained 2017 dollars) 1,414791.6,417659.9,421672.5,423767.1
18000,Indiana,2,Chain-type quantity indexes for real GDP,116.014,116.816,117.939,118.524
18000,Indiana,3,Current-dollar GDP (millions of current dollars),518819.9,523832.3,530661.2,536211.0
